title,totalScore,latitude,longitude,city,website,phone,categoryName
Chris og Mario I/S,4.6,55.0629777,15.1325865,Nexø,http://chrisogmario.com/,+45 51 33 46 84,Ice cream shop
Krølle-Bølle Isbar Snogebæk,4.8,55.0267481,15.1189768,Snogebæk,,,Ice cream shop
Bornholms Ismejeri & Kaffebar,4.5,55.1354583,15.1431167,Svaneke,http://www.bornholms-ismejeri.dk/,+45 56 49 37 40,Ice cream shop
Isfabrikken Bornholm,4.7,55.0270582,15.1184921,Snogebæk,,+45 27 52 50 66,Ice cream shop
Es krim guchem,,55.3246627,15.1795941,Gudhjem,,,Ice cream shop
Hjem-Is Depot Kolding,3.6,55.5417291,9.4731921,Kolding,https://hjem-is.dk/,+45 75 10 11 12,Ice cream shop
Bamsehuset,3.4,55.4955735,9.4801526,Kolding,http://bamsehuset-kolding.dk/,+45 27 81 23 68,Ice cream shop
Havne kiosken,4.2,55.4879512,9.5000084,Kolding,,,Ice cream shop
Lillis is,4.6,55.49219,9.470756,Kolding,http://www.lillis-is.dk/,,Ice cream shop
Slotsisen,4.4,55.4927839,9.4701339,Kolding,http://www.dengamleslotsisen.dk/,+45 28 21 01 79,Ice cream shop
D. italienske isbutik,4.5,55.5049325,9.7340704,Middelfart,,+45 42 76 41 18,Ice cream shop
frossenpind,5.0,56.102855,10.2067078,Højbjerg,http://www.frossenpind.dk/,+45 53 71 09 11,Ice cream shop
ISVÆRKET HORSENS,4.6,55.862173,9.8470299,Horsens,http://xn--isvrket-oxa.dk/,+45 91 11 12 14,Ice cream shop
Okkels Is,4.5,56.1949904,10.2468038,Risskov,http://www.okkelsis.dk/,+45 53 26 90 10,Ice cream shop
Casa Tua Ballen,4.9,55.816101,10.6356538,Samsø Municipality,https://www.casatua.dk/,+45 71 71 20 30,Ice cream shop
Ice & Coffee Ebeltoft,4.2,56.1996108,10.6764281,Ebeltoft,,,Ice cream shop
Trekanten,4.0,55.9801254,10.2506676,Odder,https://www.trekantenpizzeria.dk/,+45 25 70 50 90,Ice cream shop
Isværket Langelinie 1,4.7,55.8615088,9.8772715,Horsens,,+45 91 11 12 14,Ice cream shop
Åstedbro Ishus,,55.9017946,9.6105899,Åstedbro,https://www.facebook.com/profile.php?id=100095674023744,+45 21 30 00 60,Ice cream shop
Malkerummet,5.0,55.737173,9.2082345,Vandel,,+45 51 60 55 92,Ice cream shop
Slusen,4.2,56.1531861,10.6837135,Ebeltoft,https://xn--erferieby-k8a.dk/havnen/,+45 61 61 66 93,Ice cream shop
Paradis Juelsminde,3.7,55.713857,10.0152767,Juelsminde,https://paradis-is.dk/butikker/paradis-juelsminde/,+45 51 44 00 02,Ice cream shop
Banega,,56.1508565,10.2045155,Aarhus,,,Ice cream shop
Ishuset ved Den Permanente,3.8,56.1767439,10.2303949,Risskov,,+45 31 13 19 05,Ice cream shop
Indelukkets Snackbar,4.0,56.1609763,9.5599595,Silkeborg,,+45 20 25 62 40,Ice cream shop
Beachfood & Coffee ApS,1.5,56.1601664,10.2117898,Aarhus Municipality,,+45 72 17 00 21,Ice cream shop
Ballen Grill & Ishus,3.4,55.8150493,10.6391993,Samsø Municipality,http://samsoekager.dk/,,Ice cream shop
Bjerghytten,3.3,56.1029106,9.686899,Ry,,,Ice cream shop
Casa Tua - divine ice cream,4.6,55.9649077,10.5532815,Samsø Municipality,http://casatua.dk/,+45 71 71 20 30,Ice cream shop
Ugleboden,3.5,56.1036596,9.687679,Ry,,+45 40 71 42 09,Ice cream shop
Paradis,4.4,56.198185,10.6773231,Ebeltoft,https://paradis-is.dk/butikker/paradis-ebeltoft/,+45 53 55 90 58,Ice cream shop
Ishuset i Høll,3.6,55.6340415,9.7415379,Børkop,https://ishusetiholl.dk/,,Ice cream shop
Paradis Horsens,4.4,55.862378,9.846156,Horsens,https://paradis-is.dk/butikker/paradis-horsens/,+45 51 44 00 02,Ice cream shop
Casa Tua ved Kæret,4.7,55.964957,10.553208,Samsø Municipality,http://www.casatua.dk/,,Ice cream shop
Dolce Vita Is,4.3,56.1920912,10.2420561,Risskov,,,Ice cream shop
Waffle Dreams,4.1,56.1983238,10.677631,Ebeltoft,https://waffledreams.dk/,+45 26 22 54 44,Ice cream shop
Vaffelhuset - Saksild Strand,4.3,55.9798082,10.2500066,Odder,http://www.restaurant-bondehuset.dk/,+45 86 55 83 48,Ice cream shop
Bellevue Iscafe,3.4,56.1905029,10.2472659,Risskov,,,Ice cream shop
Bugtens Ishus,3.8,55.71901,9.997932,Juelsminde,http://www.juelsminde.nu/,+45 75 69 32 22,Ice cream shop
Emma’s ismejeri Aarhus,3.9,56.1561284,10.2087852,Aarhus,https://www.emmasismejeri.dk/,+45 70 60 57 73,Ice cream shop
Paradis,4.2,56.0333495,9.9316135,Skanderborg,https://paradis-is.dk/butikker/paradis-skanderborg/,+45 42 79 10 27,Ice cream shop
Marketenderiet Solvangen,5.0,56.1594923,10.1748968,Aarhus Municipality,,+45 86 00 00 00,Ice cream shop
Emma’s ismejeri,,55.6402128,9.6052105,Skærup,https://emmasismejeri.dk/,+45 70 60 57 73,Ice cream shop
Hjem-IS depot Skanderborg,3.7,56.0698711,9.990149,Skanderborg,http://www.hjem-is.dk/,+45 86 52 36 44,Ice cream shop
LOKAL nordic gelato,,56.2003782,10.6790429,Ebeltoft,https://www.instagram.com/lokal_nordicgelato?igsh=ZGlqZWdvOXVsOWox&utm_source=qr,+45 55 60 16 38,Ice cream shop
Emmas Ismejeri,3.6,55.7063219,9.5324592,Vejle,http://www.emmasismejeri.dk/,+45 70 60 57 73,Ice cream shop
Helgenæs Ishus,4.5,56.144375,10.5157187,Kongsgårde,https://helgenaesishus.dk/,+45 51 85 60 01,Ice cream shop
N-ICE,5.0,56.1242645,10.2173637,Aarhus Municipality,,+45 22 12 71 74,Ice cream shop
Better Treats,4.5,56.1468347,10.2035562,Aarhus Municipality,https://www.bettertreats.dk/,+45 22 10 01 35,Ice cream shop
Mosters Ishus,4.3,55.9120976,10.2549092,Hou,https://www.mostersishus.dk/,,Ice cream shop
Kjærstrup,4.4,55.7294613,9.1154342,Billund,http://www.kjaerstrup.dk/,+45 40 37 65 57,Ice cream shop
Ishuset Sletterhage.,4.3,56.0952561,10.5128978,Knebel,http://www.ishuset-sletterhage.dk/,+45 61 67 68 05,Ice cream shop
Ishuset på Marselisborg Havn,4.5,56.1387123,10.2153594,Aarhus,https://www.ishusetmarselisborghavn.dk/,+45 86 76 13 99,Ice cream shop
Dulce Verano Gelato og Ishus,5.0,55.8329486,10.5943218,Samsø Municipality,,+45 81 93 33 22,Ice cream shop
Mammis Gelato,4.6,56.1710033,9.5537742,Silkeborg,https://www.mammis.dk/,,Ice cream shop
Odder’Isen,4.7,55.9721069,10.1445964,Odder,http://www.odderisen.dk/,,Ice cream shop
Dolce Vita,4.5,56.1177191,10.1947949,Højbjerg,http://www.dolcevitais.dk/,+45 21 14 32 36,Ice cream shop
Okkels Silkeborg ApS,4.5,56.1671828,9.5467529,Silkeborg,http://www.okkelsis.dk/,+45 28 43 37 73,Ice cream shop
Roberts isbar,4.6,55.7073864,9.5387204,Vejle,https://www.robertsisbar.dk/,+45 40 85 47 55,Ice cream shop
Voel Ismejeri,4.8,56.1931789,9.6981292,Voel,http://www.voelismejeri.dk/,+45 60 56 94 58,Ice cream shop
Havnens Ishus,4.6,56.1937022,10.6691288,Ebeltoft,https://www.facebook.com/HavnensIshusEbeltoft,+45 60 12 39 01,Ice cream shop
Dolce Vita,4.6,56.173814,10.216865,Aarhus Municipality,http://dolcevitais.dk/,+45 40 74 32 30,Ice cream shop
Mammis Gelato,4.7,56.1482337,10.2000101,Aarhus,https://www.mammis.dk/,+45 81 72 10 48,Ice cream shop
Det lille ishus,4.4,55.6923404,9.6091474,Vejle,,+45 30 33 36 17,Ice cream shop
Italiano ice dream,4.8,56.1683203,9.5450761,Silkeborg,https://italiano-icedream.dk/,,Ice cream shop
Byens Ismejeri - Nicolinehus,4.6,56.164463,10.2227641,Aarhus,https://www.nicolinehus.dk/madaktorer/byens-ismejeri/,+45 86 40 10 50,Ice cream shop
Dolce Vita,4.7,56.1634167,10.2269405,Aarhus,http://www.dolcevitais.dk/,+45 25 17 32 38,Ice cream shop
Byens Ismejeri - Aarhus C,4.4,56.1564679,10.20692,Aarhus,,,Ice cream shop
Dolce Vita,4.5,56.188596,10.2160011,Risskov,http://www.dolcevitais.dk/,+45 25 71 32 34,Ice cream shop
Mammis Gelato,4.7,56.1580013,10.2091476,Aarhus Municipality,http://www.mammis.dk/,+45 81 72 10 48,Ice cream shop
Mormor's Kræmmerhus,4.6,57.2943304,10.9235662,Vesterø Havn,http://www.mormorskraemmerhus.dk/,+45 22 78 91 11,Ice cream shop
Paradis Marielyst ApS,4.1,54.6908122,11.9665793,Væggerløse,https://paradis-is.dk/,+45 92 99 52 99,Ice cream shop
Sødt & Sundt,3.7,55.1027895,14.6996708,Rønne,,+45 27 58 58 08,Ice cream shop
Hals,,57.059969,9.923039,Norresundby,,,Ice cream shop
Stege Isbar,5.0,54.9819992,12.2817096,Stege,https://nordfood.dk/,+45 93 93 74 76,Ice cream shop
Is Butik,3.0,54.6906295,11.9655292,Væggerløse,,+45 20 88 88 24,Ice cream shop
Kjærstrup Chokolade,4.6,55.2129427,14.9707607,Gudhjem,http://www.kjaerstrup.dk/,+45 27 25 98 00,Ice cream shop
Det lille ishus,5.0,55.0090514,11.908338,Vordingborg,,,Ice cream shop
Hjem-IS Depot Vordingborg,4.5,54.9966875,12.0038244,Vordingborg,https://hjem-is.dk/,+45 56 66 17 10,Ice cream shop
Vestbyen Is,3.1,57.0569661,9.900789,Aalborg,,,Ice cream shop
Marielyst Is ApS,4.6,54.6909784,11.9645864,Væggerløse,https://www.facebook.com/marielystis/,,Ice cream shop
Ishuset Brændte Ege,5.0,54.7455179,11.9168257,Nykøbing Falster,http://www.brandteege.dk/,,Ice cream shop
Hjem-IS Depot Aalborg,4.4,57.0275933,9.9721841,Aalborg,https://hjem-is.dk/,+45 96 86 01 55,Ice cream shop
